tool-prerequisites	passed	0
formatting	passed	0
shellcheck	passed	0
migration-safety	passed	0
migration-policy-self-test	passed	0
data-governance	passed	0
sqlc-generated	passed	0
go-build	passed	0
go-vet	passed	0
go-vulnerability-scan	passed	0
go-lint	passed	0
charlie-contract	passed	0
go-test	passed	0
go-race	passed	0
documentation-contract	passed	0
configuration-reference	passed	0
configuration-generator-tests	passed	0
complexity-budget	passed	0
dependency-boundaries	passed	0
compatibility-contract	passed	0
openapi-coverage	passed	0
openapi-route-sync	passed	0
openapi-quality	passed	0
openapi-spectral	passed	0
openapi-breaking	passed	0
openapi-request-fields	passed	0
openapi-generated-types	passed	0
openapi-generated-client	passed	0
openapi-generated-go-sdk	passed	0
openapi-embed	passed	0
error-code-docs	passed	0
cli-docs	passed	0
route-metadata-json	passed	0
security-sensitive-routes-json	passed	0
route-risk-classifications-json	passed	0
security-wave-review	passed	0
browser-flake-policy	passed	0
release-contract	passed	0
enterprise-qualification-producers	passed	0
agent-identity-live	passed	0
